# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,NaN,545,0,806,2702,2000,0,0,429:0.507:0.806:0.960:0
0,NaN,174,0,656,3405,2000,0,0,575:0.631:0.656:0.726:0.817:0
0,NaN,22,0,376,1607,2000,0,0,91:0.280:0.376:0.423:0.437:0
0,NaN,57,0,451,2238,2000,0,0,74:0.450:0.451:0.563:0.700:0
0,NaN,20,0,219,1810,2000,0,0,126:0.206:0.219:0.584:0.675:0
0,NaN,149,0,559,2992,2000,0,0,21:0.254:0.383:0.559:0.844:0.931:0
0,NaN,121,0,733,3397,2000,0,0,47:0.418:0.477:0.733:0.817:0.905:0
0,NaN,45,0,542,2124,2000,0,0,36:0.56:0.186:0.542:0.604:0.700:0
0,NaN,128,0,690,3563,2000,0,0,187:0.354:0.513:0.690:0.852:0.967:0
0,NaN,121,0,884,5041,2000,0,0,78:0.670:0.675:0.884:0.900:0.914:0.920:0
0,NaN,198,0,683,4152,2000,0,0,257:0.340:0.515:0.683:0.717:0.790:0.850:0
0,NaN,63,0,756,4496,2000,0,0,33:0.371:0.661:0.756:0.838:0.875:0.962:0
0,NaN,98,0,724,5297,2000,0,0,575:0.589:0.707:0.724:0.851:0.920:0.931:0
0,NaN,154,0,647,4441,2000,0,0,202:0.237:0.532:0.533:0.647:0.655:0.665:0.970:0
0,NaN,85,0,445,3588,2000,8,445,20:0.149:0.199:0.256:0.445:0.780:0.867:0.872:0
0,NaN,132,0,741,4582,2000,0,0,73:0.372:0.373:0.421:0.741:0.798:0.878:0.926:0
0,NaN,75,0,553,4224,2000,0,0,53:0.206:0.463:0.475:0.553:0.634:0.869:0.971:0
0,NaN,296,0,295,3529,2000,0,0,80:0.161:0.246:0.269:0.295:0.301:0.408:0.815:0.954:0
0,NaN,55,0,477,4470,2000,3,782,32:0.166:0.299:0.323:0.477:0.575:0.782:0.897:0.919:0
