# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,175,0,353,0,0,0,0,
0,0.0000,139,0,375,0,0,0,0,
0,0.0000,110,0,372,0,0,0,0,
0,0.0000,177,0,144,0,0,0,0,
0,0.0000,246,0,500,0,0,0,0,
0,0.0000,132,0,555,0,0,0,0,
0,0.0000,169,0,694,0,0,0,0,
0,0.0000,306,0,678,0,0,0,0,
0,0.0000,266,0,845,0,0,0,0,
0,0.0000,167,0,645,0,0,0,0,
0,0.0000,158,0,365,0,0,0,0,
0,0.0000,131,0,488,0,0,0,0,
0,0.0000,219,0,236,0,0,0,0,
0,0.0000,261,0,332,0,0,0,0,
0,0.0000,200,0,686,0,0,0,0,
0,0.0000,188,0,512,0,0,0,0,
0,0.0000,191,0,422,0,0,0,0,
0,0.0000,188,0,369,0,0,7,358,
0,0.0000,362,0,500,0,0,0,0,
0,0.0000,459,0,274,0,0,0,0,
0,0.0000,274,0,620,0,0,0,0,
0,0.0000,392,0,413,0,0,0,0,
0,0.0000,291,0,598,0,0,0,0,
0,0.0000,272,0,468,0,0,0,0,
0,0.0000,642,0,195,0,0,0,0,
0,0.0000,606,0,348,0,0,0,0,
0,0.0000,495,0,435,0,0,9,350,
0,0.0000,766,0,394,0,0,0,0,
0,0.0000,163,0,286,0,0,9,649,
0,0.0000,714,0,528,0,0,0,0,
0,0.0000,1158,0,304,0,0,0,0,
0,0.0000,1807,0,728,0,0,0,0,
0,0.0000,718,0,733,0,0,0,0,
0,0.0000,659,0,577,0,0,0,0,
0,0.0000,351,0,409,0,0,10,340,
0,0.0000,526,0,542,0,0,0,0,
0,0.0000,1069,0,407,0,0,0,0,
0,0.0000,176,0,341,0,0,11,319,
0,0.0000,866,0,509,0,0,0,0,
0,0.0000,857,0,513,0,0,0,0,
0,0.0000,224,0,383,0,0,11,353,
0,0.0000,826,0,478,0,0,0,0,
0,0.0000,2435,0,656,0,0,0,0,
0,0.0000,764,0,315,0,0,12,439,
0,0.0000,104,0,457,0,0,12,300,
0,0.0000,159,0,710,0,0,12,710,
0,0.0000,1688,0,311,0,0,0,0,
0,0.0000,1647,0,669,0,0,0,0,
0,0.0000,2631,0,446,0,0,13,265,
0,0.0000,430,0,352,0,0,13,352,
0,0.0000,594,0,301,0,0,13,395,
0,0.0000,682,0,328,0,0,13,393,
0,0.0000,2157,0,569,0,0,0,0,
0,0.0000,1591,0,358,0,0,13,324,
0,0.0000,913,0,663,0,0,14,663,
0,0.0000,2575,0,360,0,0,14,138,
0,0.0000,865,0,583,0,0,14,283,
0,0.0000,4207,0,679,0,0,0,0,
0,0.0000,3656,0,548,0,0,0,0,
0,0.0000,296,0,426,0,0,14,200,
0,0.0000,1890,0,656,0,0,15,199,
0,0.0000,181,0,488,0,0,15,333,
0,0.0000,362,0,482,0,0,15,372,
0,0.0000,6404,0,585,0,0,0,0,
0,0.0000,865,0,365,0,0,15,306,
0,0.0000,475,0,481,0,0,15,223,
0,0.0000,920,0,473,0,0,16,319,
0,0.0000,313,0,405,0,0,16,335,
0,0.0000,58,0,573,0,0,16,368,
0,0.0000,200,0,268,0,0,16,241,
0,0.0000,657,0,658,0,0,16,693,
0,0.0000,1170,0,567,0,0,16,567,
0,0.0000,1763,0,164,0,0,17,284,
0,0.0000,23873,0,706,0,0,0,0,
0,0.0000,271,0,408,0,0,17,312,
0,0.0000,717,0,568,0,0,17,271,
0,0.0000,321,0,414,0,0,17,310,
0,0.0000,6942,0,478,0,0,17,317,
0,0.0000,139,0,549,0,0,18,338,
0,0.0000,1265,0,664,0,0,18,126,
0,0.0000,1459,0,301,0,0,18,301,
0,0.0000,1908,0,378,0,0,18,262,
0,0.0000,692,0,554,0,0,18,482,
0,0.0000,5279,0,663,0,0,18,343,
0,0.0000,167,0,510,0,0,19,408,
0,0.0000,134,0,436,0,0,19,365,
0,0.0000,980,0,357,0,0,19,264,
0,0.0000,4508,0,473,0,0,19,823,
0,0.0000,56,0,444,0,0,19,244,
0,0.0000,822,0,311,0,0,19,294,
0,0.0000,168,0,566,0,0,20,363,
0,0.0000,471,0,635,0,0,20,635,
0,0.0000,3703,0,568,0,0,20,541,
0,0.0000,258,0,498,0,0,20,270,
0,0.0000,318,0,567,0,0,20,319,
0,0.0000,71,0,688,0,0,20,522,
0,0.0000,62,0,556,0,0,21,432,
0,0.0000,93,0,488,0,0,21,303,
0,0.0000,648,0,388,0,0,21,240,
0,0.0000,18,0,893,0,0,0,0,
0,0.0000,45,0,353,0,0,0,0,
0,0.0000,35,0,375,0,0,0,0,
0,0.0000,39,0,372,0,0,0,0,
0,0.0000,27,0,144,0,0,0,0,
0,0.0000,23,0,500,0,0,0,0,
0,0.0000,29,0,555,0,0,0,0,
0,0.0000,25,0,694,0,0,0,0,
0,0.0000,24,0,678,0,0,0,0,
0,0.0000,35,0,845,0,0,0,0,
0,0.0000,33,0,645,0,0,0,0,
0,0.0000,40,0,365,0,0,0,0,
0,0.0000,27,0,488,0,0,0,0,
0,0.0000,73,0,236,0,0,0,0,
0,0.0000,38,0,332,0,0,0,0,
0,0.0000,42,0,686,0,0,0,0,
0,0.0000,59,0,512,0,0,0,0,
0,0.0000,45,0,422,0,0,0,0,
0,0.0000,78,0,369,0,0,0,0,
